Link,Status
https://xd.adobe.com/view/be203500-388d-4d45-93c0-81f197e170a0-eb73/,OK
https://xd.adobe.com/view/f1167baf-a7b6-4b52-a1dd-8c9c3e37a549-a445/,NOK - Access required
https://xd.adobe.com/view/5a6d9146-d94f-4dde-9dd6-67ce8affa7c9-0f3e/,NOK - Error
https://xd.adobe.com/view/1cafdad4-7d63-4547-8132-ce4c6ab11485-49fc/,OK
